Timestamp,highest educational degree,current job,faked a degree,level of concernedness about FD,level of confidence in the ability to detect FD during  hiring,encourage more measures,familiar with verification methods,know employees with FD,interested in our website,how likely to recommend our website
11/07/2023 10:40,High School Diploma,Student,No,3,4,Yes,No,No,Maybe,3
11/07/2023 10:54,High School Diploma,Student,No,4,4,Yes,No,No,Maybe,3
11/07/2023 11:34,High School Diploma,Student,No,3,5,Yes,No,No,Yes,5
11/07/2023 11:39,High School Diploma,Student,No,3,2,Yes,No,Yes,Maybe,2
11/07/2023 16:30,High School Diploma,Student,No,5,3,Yes,No,No,Yes,4
11/07/2023 16:36,High School Diploma,Student,No,5,3,Yes,No,No,Yes,5
11/07/2023 16:41,High School Diploma,Student,No,4,2,Yes,No,Yes,Yes,4
11/07/2023 16:48,High School Diploma,Student,No,5,3,Yes,No,Yes,Yes,5
11/07/2023 16:50,High School Diploma,Student,No,1,2,Yes,No,Yes,Yes,5
11/07/2023 16:50,High School Diploma,Student,No,5,5,Yes,No,Yes,Yes,5
11/07/2023 16:54,High School Diploma,Student,No,5,4,Yes,No,Yes,Maybe,4
11/07/2023 16:57,High School Diploma,Student,No,4,3,Yes,No,Yes,Yes,4
11/07/2023 17:00,High School Diploma,Student,No,2,3,No,No,No,Yes,3
11/07/2023 17:00,High School Diploma,Student,No,5,3,Yes,No,Yes,Maybe,3
11/07/2023 17:16,High School Diploma,Student,No,5,3,Yes,No,No,Maybe,3
11/07/2023 17:19,High School Diploma,Student,No,5,3,Yes,No,Yes,Yes,5
11/07/2023 17:20,High School Diploma,Student,No,5,1,Yes,No,No,Yes,5
11/07/2023 17:21,High School Diploma,Student,No,1,2,Yes,No,Yes,Yes,5
11/07/2023 17:31,High School Diploma,Student,No,5,4,Yes,No,Yes,No,3
11/07/2023 17:32,High School Diploma,Student,No,1,4,Yes,No,No,Maybe,3
11/07/2023 17:34,High School Diploma,Student,No,4,2,Yes,No,Yes,No,3
11/07/2023 18:48,High School Diploma,Student,No,5,3,Yes,No,No,Yes,5
11/07/2023 20:20,High School Diploma,Student,No,5,1,No,No,No,No,3
11/07/2023 20:32,High School Diploma,Student,No,5,2,Yes,No,Yes,Yes,4
11/07/2023 20:47,High School Diploma,Student,No,3,5,Yes,No,No,Yes,5
11/07/2023 21:45,High School Diploma,Student,No,5,2,Yes,No,Yes,No,4
11/07/2023 22:17,High School Diploma,Student,No,1,5,Yes,No,No,Yes,5
11/07/2023 23:39,High School Diploma,Student,No,4,3,Yes,No,No,Yes,5
